year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2006	BRONX	876	1639	ELL	3754	1037	49	645	202	5.4	43.7	27.6	3	23.3	1841
2006	BRONX	1186	6979	EP	12691	2220	73.2	669	2306	18.2	55	17.5	3	9.3	9285
2007	BRONX	489	1953	ELL	3726	908	62.5	659	376	10.1	52.4	24.4	3	13.1	2329
2007	BRONX	756	7043	EP	12463	1732	80	678	2932	23.5	56.5	13.9	3	6.1	9975
2008	BRONX	205	2242	ELL	3311	620	75.1	666	244	7.4	67.7	18.7	3	6.2	2486
2008	BRONX	465	8205	EP	12325	1441	84.5	680	2214	18	66.6	11.7	3	3.8	10419
2009	BRONX	95	2417	ELL	3370	523	81.7	672	335	9.9	71.7	15.5	3	2.8	2752
2009	BRONX	163	8878	EP	12439	1043	90.3	684	2355	18.9	71.4	8.4	3	1.3	11233
2010	BRONX	975	839	ELL	3696	1642	29.2	673	240	6.5	22.7	44.4	3	26.4	1079
2010	BRONX	1663	3790	EP	12170	4695	47.8	686	2022	16.6	31.1	38.6	3	13.7	5812
2011	BRONX	936	856	ELL	3518	1666	26	671	60	1.7	24.3	47.4	3	26.6	916
2011	BRONX	1630	4897	EP	12302	4962	46.4	681	813	6.6	39.8	40.3	3	13.2	5710
2012	BRONX	957	847	ELL	3366	1501	27	671	61	1.8	25.2	44.6	3	28.4	908
2012	BRONX	1734	5124	EP	12697	4932	47.5	682	907	7.1	40.4	38.8	3	13.7	6031
2006	BRONX	899	1033	ELL	3004	983	37.4	635	89	3	34.4	32.7	4	29.9	1122
2006	BRONX	1313	6669	EP	12794	2942	66.7	664	1870	14.6	52.1	23	4	10.3	8539
2007	BRONX	778	1392	ELL	3408	1092	45.1	644	146	4.3	40.8	32	4	22.8	1538
2007	BRONX	1128	6810	EP	12658	2683	69.9	667	2037	16.1	53.8	21.2	4	8.9	8847
2008	BRONX	469	1735	ELL	3223	865	58.6	653	154	4.8	53.8	26.8	4	14.6	1889
2008	BRONX	935	7275	EP	12522	2078	75.9	671	2234	17.8	58.1	16.6	4	7.5	9509
2009	BRONX	328	1775	ELL	3084	639	68.6	664	342	11.1	57.6	20.7	4	10.6	2117
2009	BRONX	703	6856	EP	12447	1549	81.9	681	3339	26.8	55.1	12.4	4	5.6	10195
2010	BRONX	583	799	ELL	3312	1733	30.1	661	197	5.9	24.1	52.3	4	17.6	996
2010	BRONX	941	4433	EP	12594	5247	50.9	677	1973	15.7	35.2	41.7	4	7.5	6406
2011	BRONX	629	961	ELL	3469	1742	31.7	661	137	3.9	27.7	50.2	4	18.1	1098
2011	BRONX	902	4839	EP	12443	4657	55.3	679	2045	16.4	38.9	37.4	4	7.2	6884
2012	BRONX	632	908	ELL	3280	1510	34.7	662	230	7	27.7	46	4	19.3	1138
2012	BRONX	820	4658	EP	12093	4242	58.1	681	2373	19.6	38.5	35.1	4	6.8	7031
2006	BRONX	1019	714	ELL	2904	1127	26.1	628	44	1.5	24.6	38.8	5	35.1	758
2006	BRONX	1956	5984	EP	13489	4413	52.8	651	1136	8.4	44.4	32.7	5	14.5	7120
2007	BRONX	787	942	ELL	2946	1145	34.4	635	72	2.4	32	38.9	5	26.7	1014
2007	BRONX	1173	6860	EP	13314	3736	63.1	661	1545	11.6	51.5	28.1	5	8.8	8405
2008	BRONX	434	1341	ELL	2774	882	52.6	647	117	4.2	48.3	31.8	5	15.6	1458
2008	BRONX	802	7616	EP	12988	2563	74.1	668	2007	15.5	58.6	19.7	5	6.2	9623
2009	BRONX	243	1632	ELL	2927	776	65.2	658	276	9.4	55.8	26.5	5	8.3	1908
2009	BRONX	421	7158	EP	12572	1816	82.2	677	3177	25.3	56.9	14.4	5	3.3	10335
2010	BRONX	604	704	ELL	3009	1553	28.3	658	148	4.9	23.4	51.6	5	20.1	852
2010	BRONX	1115	4627	EP	12511	4773	52.9	676	1996	16	37	38.2	5	8.9	6623
2011	BRONX	676	734	ELL	2999	1501	27.4	658	88	2.9	24.5	50.1	5	22.5	822
2011	BRONX	885	5382	EP	12707	4590	56.9	679	1850	14.6	42.4	36.1	5	7	7232
2012	BRONX	716	769	ELL	3066	1408	30.7	658	173	5.6	25.1	45.9	5	23.4	942
2012	BRONX	1145	4875	EP	12658	4125	58.4	680	2513	19.9	38.5	32.6	5	9	7388
2006	BRONX	1266	367	ELL	2486	834	15.5	611	19	0.8	14.8	33.5	6	50.9	386
2006	BRONX	2829	5100	EP	13345	4764	43.1	641	652	4.9	38.2	35.7	6	21.2	5752
2007	BRONX	966	631	ELL	2644	999	25.7	625	48	1.8	23.9	37.8	6	36.5	679
2007	BRONX	1896	5885	EP	12978	4129	53.6	651	1068	8.2	45.3	31.8	6	14.6	6953
2008	BRONX	539	912	ELL	2468	947	39.8	637	70	2.8	37	38.4	6	21.8	982
2008	BRONX	1298	6629	EP	12907	3460	63.1	657	1520	11.8	51.4	26.8	6	10.1	8149
