comparable_rental_2_address	comparable_rental_1_neighborhood	bronx_condominium_property_boro_block_lot	comparable_rental_2_gross_sqft	bronx_condominium_property_neighborhood	comparable_rental_2_building_classification	bronx_condominium_property_year_built	bronx_condominium_property_gross_income_per_sqft	bronx_condominium_property_full_market_value	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	bronx_condominium_property_condo_section	comparable_rental_1_building_classification	bronx_condominium_property_est_gross_income	bronx_condominium_property_gross_sqft	comparable_rental_1_address	comparable_rental_2_neighborhood	bronx_condominium_property_market_value_per_sqft	comparable_rental_2_dist_from_coop_in_miles	bronx_condominium_property_building_classification	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	comparable_rental_2_year_built	bronx_condominium_property_total_units	comparable_rental_1_est_gross_income	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	bronx_condominium_property_address	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
354 CYPRESS AVENUE	CROTONA PARK	2-02315-7501	69450	MOTT HAVEN/PORT MORRIS	D1-ELEVATOR	1904	34	3339998	15.61	384000	2-02571-0014	2.2	10.19	93-R1	D1-ELEVATOR	717128	21092	1436 CROTONA PARK EAST	MOTT HAVEN/PORT MORRIS	158	0.7	R2-WALK-UP	1084400	11	24.25	87	3670000	1906	11	161412	2-02938-0016	15835	305 EAST 140 STREET	53	1906
198 BROWN PLACE	MOTT HAVEN/PORT MORRIS	2-02364-7501	15985	MORRISANIA/LONGWOOD	D5-ELEVATOR	2006	21.75	6489993	21.87	1320000	2-02264-0005	1	21.7	99-R1	D7-ELEVATOR	1566000	72000	197 BROOK AVENUE	MOTT HAVEN/PORT MORRIS	90	1	R4-ELEVATOR	349531	17	90	22	1450000	1900	61	319415	2-02264-0014	14720	3044 3 AVENUE	91	1909
198 BROWN PLACE	MOTT HAVEN/PORT MORRIS	2-02368-7501	15985	MORRISANIA/LONGWOOD	D5-ELEVATOR	2003	21.75	5250000	21.87	1320000	2-02264-0005	1.4	21.7	97-R1	D7-ELEVATOR	1266981	58252	197 BROOK AVENUE	MOTT HAVEN/PORT MORRIS	90	1.4	R4-ELEVATOR	349531	17	90	22	1450000	1900	100	319415	2-02264-0014	14720	488 EAST 164 STREET	91	1909
529 EAST 138 STREET	MOTT HAVEN/PORT MORRIS	2-02369-7501	9190	MORRISANIA/LONGWOOD	C7-WALK-UP	2007	20.35	3200000	23.29	874000	2-02266-0037	1.35	22.95	112-R1	C7-WALK-UP	935780	45973	525 EAST 138 STREET	MOTT HAVEN/PORT MORRIS	70	1.35	R9-CONDOPS	214034	14	95	14	887000	1915	60	210944	2-02266-0040	9190	3305 3 AVENUE	97	1915
4278 3 AVENUE	MORRISANIA/LONGWOOD	2-02369-7502	92291	MORRISANIA/LONGWOOD	D1-ELEVATOR	2007	21.75	14023489	23.03	2230000	2-03061-0005	0.6	12.33	122-R1	D1-ELEVATOR	3265132	150121	1157 INTERVALE AVENUE	EAST TREMONT	93	1.7	R4-ELEVATOR	2125461	66	34.7	97	8800000	2007	128	792000	2-02692-0048	64245	500 EAST 165 STREET	95	2007
198 BROWN PLACE	MOTT HAVEN/PORT MORRIS	2-02381-7501	15985	MORRISANIA/LONGWOOD	D5-ELEVATOR	2008	20.25	9739988	21.87	1410000	2-02264-0005	1.15	19.96	115-R1	D5-ELEVATOR	2605020	128643	202 BROWN PLACE	MOTT HAVEN/PORT MORRIS	76	1.15	R4-ELEVATOR	349531	26	75	22	1450000	1900	90	376040	2-02264-0007	18837	837 WASHINGTON AVENUE	91	1900
3097 3 AVENUE	HIGHBRIDGE/MORRIS HEIGHTS	2-02382-7501	76000	MORRISANIA/LONGWOOD	D1-ELEVATOR	2005	24.42	11200000	10.07	1580000	2-02379-0051	1.3	10	94-R1	D1-ELEVATOR	2715620	111182	1285 MERRIAM AVENUE	MORRISANIA/LONGWOOD	101	0.15	R9-CONDOPS	765315	85	21.22	85	1620000	2005	110	744533	2-02529-0025	74448	871 ELTON AVENUE	21.32	2005
2996 CONCOURSE VILLAGE EA	HIGHBRIDGE/MORRIS HEIGHTS	2-02382-7502	97761	MORRISANIA/LONGWOOD	D1-ELEVATOR	2006	24.42	10100000	12.16	2360000	2-02442-0060	1.3	22.57	108-R1	D1-ELEVATOR	2442793	100012	1401 JESUP AVENUE	MELROSE/CONCOURSE	101	0.5	R9-CONDOPS	1188464	81	94	72	3340000	2006	88	568669	2-02872-0036	25200	406 EAST 161 STREET	34.2	2006
1285 MERRIAM AVENUE	MORRISANIA/LONGWOOD	2-02516-7501	74448	HIGHBRIDGE/MORRIS HEIGHTS	D1-ELEVATOR	2005	22.66	2280008	10	1620000	2-02529-0025	1.3	10.07	73-R1	D1-ELEVATOR	549776	24262	3097 3 AVENUE	HIGHBRIDGE/MORRIS HEIGHTS	94	0.15	R4-ELEVATOR	744533	85	21.32	85	1580000	2005	28	765315	2-02379-0051	76000	1209 NELSON AVENUE	21.22	2005
1050 LOWELL STREET	MORRISANIA/LONGWOOD	2-02686-7501	10950	MORRISANIA/LONGWOOD	C4-WALK-UP	1909	14.63	711004	15.96	355000	2-02757-0042	0.35	16.16	53-R1	C4-WALK-UP	210366	14384	753 JACKSON AVENUE	MORRISANIA/LONGWOOD	49.4	1	R2-WALK-UP	174807	11	55	11	591000	1911	13	105060	2-02636-0037	6500	717 KELLY STREET	54	1906
