	year	num_level_1	num_level_3	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	pct_level_1	num_level_3_and_4	boroughBROOKLYN	boroughQUEENS	boroughMANHATTAN	boroughSTATEN ISLAND	boroughBRONX	bindemographic	grade6	grade5	grade8	grade3	grade7	gradeAll Grades	grade4
0	2006	876	1639	3754	1037	49.0	645	202	5.4	43.7	27.6	23.3	1841	0	0	0	0	1	1	0	0	0	1	0	0	0
1	2006	1186	6979	12691	2220	73.2	669	2306	18.2	55.0	17.5	9.3	9285	0	0	0	0	1	0	0	0	0	1	0	0	0
2	2007	489	1953	3726	908	62.5	659	376	10.1	52.4	24.4	13.1	2329	0	0	0	0	1	1	0	0	0	1	0	0	0
3	2007	756	7043	12463	1732	80.0	678	2932	23.5	56.5	13.9	6.1	9975	0	0	0	0	1	0	0	0	0	1	0	0	0
4	2008	205	2242	3311	620	75.1	666	244	7.4	67.7	18.7	6.2	2486	0	0	0	0	1	1	0	0	0	1	0	0	0
5	2008	465	8205	12325	1441	84.5	680	2214	18.0	66.6	11.7	3.8	10419	0	0	0	0	1	0	0	0	0	1	0	0	0
6	2009	95	2417	3370	523	81.7	672	335	9.9	71.7	15.5	2.8	2752	0	0	0	0	1	1	0	0	0	1	0	0	0
7	2009	163	8878	12439	1043	90.3	684	2355	18.9	71.4	8.4	1.3	11233	0	0	0	0	1	0	0	0	0	1	0	0	0
8	2010	975	839	3696	1642	29.2	673	240	6.5	22.7	44.4	26.4	1079	0	0	0	0	1	1	0	0	0	1	0	0	0
9	2010	1663	3790	12170	4695	47.8	686	2022	16.6	31.1	38.6	13.7	5812	0	0	0	0	1	0	0	0	0	1	0	0	0
10	2011	936	856	3518	1666	26.0	671	60	1.7	24.3	47.4	26.6	916	0	0	0	0	1	1	0	0	0	1	0	0	0
11	2011	1630	4897	12302	4962	46.4	681	813	6.6	39.8	40.3	13.2	5710	0	0	0	0	1	0	0	0	0	1	0	0	0
12	2012	957	847	3366	1501	27.0	671	61	1.8	25.2	44.6	28.4	908	0	0	0	0	1	1	0	0	0	1	0	0	0
13	2012	1734	5124	12697	4932	47.5	682	907	7.1	40.4	38.8	13.7	6031	0	0	0	0	1	0	0	0	0	1	0	0	0
14	2006	899	1033	3004	983	37.4	635	89	3.0	34.4	32.7	29.9	1122	0	0	0	0	1	1	0	0	0	0	0	0	1
15	2006	1313	6669	12794	2942	66.7	664	1870	14.6	52.1	23.0	10.3	8539	0	0	0	0	1	0	0	0	0	0	0	0	1
16	2007	778	1392	3408	1092	45.1	644	146	4.3	40.8	32.0	22.8	1538	0	0	0	0	1	1	0	0	0	0	0	0	1
17	2007	1128	6810	12658	2683	69.9	667	2037	16.1	53.8	21.2	8.9	8847	0	0	0	0	1	0	0	0	0	0	0	0	1
18	2008	469	1735	3223	865	58.6	653	154	4.8	53.8	26.8	14.6	1889	0	0	0	0	1	1	0	0	0	0	0	0	1
19	2008	935	7275	12522	2078	75.9	671	2234	17.8	58.1	16.6	7.5	9509	0	0	0	0	1	0	0	0	0	0	0	0	1
20	2009	328	1775	3084	639	68.6	664	342	11.1	57.6	20.7	10.6	2117	0	0	0	0	1	1	0	0	0	0	0	0	1
21	2009	703	6856	12447	1549	81.9	681	3339	26.8	55.1	12.4	5.6	10195	0	0	0	0	1	0	0	0	0	0	0	0	1
22	2010	583	799	3312	1733	30.1	661	197	5.9	24.1	52.3	17.6	996	0	0	0	0	1	1	0	0	0	0	0	0	1
23	2010	941	4433	12594	5247	50.9	677	1973	15.7	35.2	41.7	7.5	6406	0	0	0	0	1	0	0	0	0	0	0	0	1
24	2011	629	961	3469	1742	31.7	661	137	3.9	27.7	50.2	18.1	1098	0	0	0	0	1	1	0	0	0	0	0	0	1
25	2011	902	4839	12443	4657	55.3	679	2045	16.4	38.9	37.4	7.2	6884	0	0	0	0	1	0	0	0	0	0	0	0	1
26	2012	632	908	3280	1510	34.7	662	230	7.0	27.7	46.0	19.3	1138	0	0	0	0	1	1	0	0	0	0	0	0	1
27	2012	820	4658	12093	4242	58.1	681	2373	19.6	38.5	35.1	6.8	7031	0	0	0	0	1	0	0	0	0	0	0	0	1
28	2006	1019	714	2904	1127	26.1	628	44	1.5	24.6	38.8	35.1	758	0	0	0	0	1	1	0	1	0	0	0	0	0
29	2006	1956	5984	13489	4413	52.8	651	1136	8.4	44.4	32.7	14.5	7120	0	0	0	0	1	0	0	1	0	0	0	0	0
30	2007	787	942	2946	1145	34.4	635	72	2.4	32.0	38.9	26.7	1014	0	0	0	0	1	1	0	1	0	0	0	0	0
31	2007	1173	6860	13314	3736	63.1	661	1545	11.6	51.5	28.1	8.8	8405	0	0	0	0	1	0	0	1	0	0	0	0	0
32	2008	434	1341	2774	882	52.6	647	117	4.2	48.3	31.8	15.6	1458	0	0	0	0	1	1	0	1	0	0	0	0	0
33	2008	802	7616	12988	2563	74.1	668	2007	15.5	58.6	19.7	6.2	9623	0	0	0	0	1	0	0	1	0	0	0	0	0
34	2009	243	1632	2927	776	65.2	658	276	9.4	55.8	26.5	8.3	1908	0	0	0	0	1	1	0	1	0	0	0	0	0
35	2009	421	7158	12572	1816	82.2	677	3177	25.3	56.9	14.4	3.3	10335	0	0	0	0	1	0	0	1	0	0	0	0	0
36	2010	604	704	3009	1553	28.3	658	148	4.9	23.4	51.6	20.1	852	0	0	0	0	1	1	0	1	0	0	0	0	0
37	2010	1115	4627	12511	4773	52.9	676	1996	16.0	37.0	38.2	8.9	6623	0	0	0	0	1	0	0	1	0	0	0	0	0
